                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0274,                 1.8835,                 1.2111,                0.80578,                0.73832,                0.75481,                0.52736,                 1.1258,                 1.7834,                 1.3108,             0.00066077,             0.00066077,             0.00066077
                      2,                 1.0635,                 1.4173,                 1.2342,                0.72181,                0.73708,                 0.7225,                0.49975,                 1.1501,                 1.8539,                 1.3394,               0.001196,               0.001196,               0.001196
                      3,                 1.0588,                  1.141,                 1.2267,                0.68871,                0.59013,                0.64457,                 0.4344,                 1.2141,                 1.6738,                 1.3869,              0.0015993,              0.0015993,              0.0015993
                      4,                 1.0145,                 1.0015,                 1.2053,                0.81401,                0.69805,                0.74724,                0.53375,                 1.0802,                 1.2505,                  1.277,               0.001406,               0.001406,               0.001406
                      5,                0.97294,                 0.8905,                 1.1918,                0.81292,                0.85075,                0.83096,                0.59973,                 0.9405,                 0.8517,                 1.1419,               0.001406,               0.001406,               0.001406
                      6,                0.94631,                0.79144,                 1.1678,                0.88275,                0.82984,                0.87309,                0.63937,                0.98273,                 0.7581,                 1.1774,               0.001208,               0.001208,               0.001208
                      7,                0.91859,                0.74809,                 1.1415,                0.86066,                 0.8163,                0.86305,                0.65771,                0.89062,                0.74656,                  1.124,                0.00101,                0.00101,                0.00101
                      8,                0.87191,                0.67529,                 1.1212,                0.87872,                 0.8568,                0.89546,                0.67977,                0.88899,                0.64408,                 1.0944,               0.000812,               0.000812,               0.000812
                      9,                 0.8336,                0.62637,                  1.089,                 0.8709,                0.86682,                0.89537,                0.67863,                0.85438,                0.62346,                 1.0973,               0.000614,               0.000614,               0.000614
                     10,                0.81102,                0.56011,                 1.0638,                0.89514,                0.87232,                0.91912,                0.72179,                 0.7837,                0.55807,                 1.0337,               0.000416,               0.000416,               0.000416
